"Page / section";"Cle";"Francais";"Etat";"Ne pas traduire";"WOLOF (a remplir)"
"Challenge — contribution";"contrib.err_max";"Maximum {max} par envoi. Renouvelez si besoin.";"ABSENT";"{max}";""
"Challenge — contribution";"contrib.err_send";"Échec de l'envoi. Réessayez.";"ABSENT";"";""
"Challenge — contribution";"contrib.name_label";"Prénom (facultatif)";"ABSENT";"";""
"Challenge — contribution";"contrib.name_ph";"Votre prénom";"ABSENT";"";""
"Challenge — contribution";"contrib.note";"Anonyme si vous ne mettez pas de prénom. Merci de saisir un nombre réel.";"ABSENT";"";""
"Challenge — contribution";"contrib.sending";"Envoi…";"ABSENT";"";""
"Challenge — contribution";"contrib.submit";"Offrir au compteur";"ABSENT";"";""
"Challenge — contribution";"contrib.thanks";"Barakallâhu fîkoum ! +{n} Salaatu ajoutés";"ABSENT";"{n}";""
"Challenge — contribution";"contrib.thanks_sub";"Qu'Allah accepte vos prières sur le Prophète ﷺ.";"ABSENT";"";""
"Challenge — contribution";"contrib.title";"Offrez vos Salaatu au compteur";"ABSENT";"";""
"Challenge — media";"challmedia.annonce";"Annonce";"ABSENT";"";""
"Challenge — media";"challmedia.jourj";"Jour J";"ABSENT";"";""
"Challenge — media";"challmedia.overline";"En images";"ABSENT";"";""
"Challenge — media";"challmedia.title";"Annonces & Jour J";"ABSENT";"";""
"Compte a rebours";"countdown.days";"Jours";"ABSENT";"";""
"Compte a rebours";"countdown.hours";"Heures";"ABSENT";"";""
"Compte a rebours";"countdown.minutes";"Minutes";"ABSENT";"";""
"Compte a rebours";"countdown.passed";"L'événement a eu lieu — à très bientôt pour la prochaine édition.";"ABSENT";"";""
"Compte a rebours";"countdown.seconds";"Secondes";"ABSENT";"";""
"Compte a rebours";"countdown.title";"Compte à rebours";"ABSENT";"";""
"Fenetres surgissantes";"modal.desc";"Ce contenu sacré fait partie du premium. Débloquez l'intégralité de la bibliothèque (texte arabe, translittération, traduction, bienfaits et secrets) pour un paiement unique de 1 000 FCFA via Wave.";"ABSENT";"";""
"Fenetres surgissantes";"modal.later";"Plus tard";"ABSENT";"";""
"Fenetres surgissantes";"modal.note";"Accès à vie sur tous vos appareils.";"ABSENT";"";""
"Fenetres surgissantes";"modal.register";"Créer un compte pour débloquer →";"ABSENT";"";""
"Fenetres surgissantes";"modal.title";"Salaat verrouillé";"ABSENT";"";""
"Fenetres surgissantes";"modal.unlock";"Débloquer maintenant →";"ABSENT";"";""
"Mentions de securite";"shield.title";"Contenu protégé";"ABSENT";"";""
"Mois de l'annee";"month.mar";"Mar";"FRANCAIS TEL QUEL";"";""
"Mois de l'annee";"month.march";"Mars";"FRANCAIS TEL QUEL";"";""
"Onglets";"tabs.app";"App KSN";"FRANCAIS TEL QUEL";"";""
"Page Challenge";"challenge.community_total";"Total cumulé par la communauté KSN";"ABSENT";"";""
"Page Challenge";"challenge.conclusion";"C'est l'esprit du Challenge KSN : chaque Salaatu individuel récité au sein de la communauté est multiplié par la baraka du groupe. Un milliard de Salaatu, c'est impossible seul — mais ensemble, sous l'autorité spirituelle du Dahira et avec la permission d'Allah, ce défi devient réalité.";"ABSENT";"";""
"Page Challenge";"challenge.contributors";"{count} contributeurs";"FRANCAIS TEL QUEL";"{count}";""
"Page Challenge";"challenge.desc";"Ensemble, offrons au Prophète Muhammad ﷺ un milliard de prières (Salaatu). Chaque membre KSN, chaque récitation, chaque souffle compte.";"ABSENT";"";""
"Page Challenge";"challenge.estimated";"Estimation basée sur le rythme de l'application (~7M/semaine)";"ABSENT";"";""
"Page Challenge";"challenge.group_badge";"La force du groupe";"ABSENT";"";""
"Page Challenge";"challenge.group_desc";"L'Islam met le culte collectif au cœur de la spiritualité. C'est le sens même du Dahira : multiplier l'effort individuel par la baraka du groupe.";"ABSENT";"";""
"Page Challenge";"challenge.group_title";"Pourquoi prier ensemble ?";"ABSENT";"";""
"Page Challenge";"challenge.hadith1_ar";"صَلَاةُ الْجَمَاعَةِ تَفْضُلُ صَلَاةَ الْفَذِّ بِسَبْعٍ وَعِشْرِينَ دَرَجَةً";"ABSENT";"";""
"Page Challenge";"challenge.hadith1_fr";"« La prière en groupe est supérieure à la prière individuelle de vingt-senpt degrés. »";"ABSENT";"";""
"Page Challenge";"challenge.hadith1_ref";"— Le Prophète Muhammad ﷺ (rapporté par Al-Bukhari et Muslim)";"ABSENT";"";""
"Page Challenge";"challenge.hadith2_ar";"يَدُ اللَّهِ مَعَ الْجَمَاعَةِ";"ABSENT";"";""
"Page Challenge";"challenge.hadith2_fr";"« La main d'Allah est avec le groupe. »";"ABSENT";"";""
"Page Challenge";"challenge.hadith2_ref";"— Hadith rapporté par At-Tirmidhi";"ABSENT";"";""
"Page Challenge";"challenge.hadiths_title";"Les Nobles Hadiths (Guidance)";"ABSENT";"";""
"Page Challenge";"challenge.how_desc";"L'application KSN est l'outil officiel du Dahira pour compter et synchroniser les Salaatu de la communauté avec le compteur mondial.";"ABSENT";"";""
"Page Challenge";"challenge.how_subtitle";"3 étapes pour contribuer";"ABSENT";"";""
"Page Challenge";"challenge.how_title";"Comment participer";"ABSENT";"";""
"Page Challenge";"challenge.lastMonth";"Le mois passé";"ABSENT";"";""
"Page Challenge";"challenge.lastWeek";"Semaine passée";"ABSENT";"";""
"Page Challenge";"challenge.leaderboard_overline";"Tableau d'Honneur";"FRANCAIS TEL QUEL";"";""
"Page Challenge";"challenge.live";"EN DIRECT — synchronisé avec l'application KSN";"ABSENT";"";""
"Page Challenge";"challenge.offered";"Salaatu offerts au Prophète ﷺ";"ABSENT";"";""
"Page Challenge";"challenge.overline";"Défi spirituel mondial";"ABSENT";"";""
"Page Challenge";"challenge.reward_ar";"مَنْ صَلَّى عَلَيَّ صَلَاةً صَلَّى اللَّهُ عَلَيْهِ بِهَا عَشْرًا";"ABSENT";"";""
"Page Challenge";"challenge.reward_badge";"La récompense divine";"ABSENT";"";""
"Page Challenge";"challenge.reward_fr";"« Celui qui prie sur moi une fois, Allah prie sur lui dix fois. »";"ABSENT";"";""
"Page Challenge";"challenge.reward_ref";"— Le Prophète Muhammad ﷺ (rapporté par Muslim)";"ABSENT";"";""
"Page Challenge";"challenge.share_invite";"Rejoins le Challenge 1 Milliard de Salaatu ʿAlaa Nabii ﷺ avec la communauté KSN. Ensemble, prions sur le Prophète Muhammad ﷺ jusqu'au milliard !";"ABSENT";"";""
"Page Challenge";"challenge.share_label";"Partager le défi";"ABSENT";"";""
"Page Challenge";"challenge.status_label";"Statut";"FRANCAIS TEL QUEL";"";""
"Page Challenge";"challenge.step1_desc";"Disponible gratuitement sur iPhone et Android. Saisissez vos Salaatu quotidiens en un tap.";"ABSENT";"";""
"Page Challenge";"challenge.step1_title";"Téléchargez l'app KSN";"ABSENT";"";""
"Page Challenge";"challenge.step2_desc";"Récitez la prière sur le Prophète ﷺ et incrémentez votre compteur personnel — chaque récitation compte pour le total mondial.";"ABSENT";"";""
"Page Challenge";"challenge.step2_title";"Comptez vos Salaatu";"ABSENT";"";""
"Page Challenge";"challenge.step3_desc";"Partagez le challenge sur WhatsApp, Telegram, Facebook. Plus on est nombreux, plus vite on atteint le milliard.";"ABSENT";"";""
"Page Challenge";"challenge.step3_title";"Invitez la oumma";"ABSENT";"";""
"Page Challenge";"challenge.thisMonth";"Ce mois-ci";"ABSENT";"";""
"Page Challenge";"challenge.thisWeek";"Cette semaine";"ABSENT";"";""
"Page Challenge";"challenge.title";"Challenge 1 Milliard";"ABSENT";"";""
"Page Challenge";"challenge.today";"Aujourd'hui";"ABSENT";"";""
"Page Challenge";"challenge.verset1_ar";"وَاعْتَصِمُوا بِحَبْلِ اللَّهِ جَمِيعًا وَلَا تَفَرَّقُوا ۚ وَاذْكُرُوا نِعْمَتَ اللَّهِ عَلَيْكُمْ";"ABSENT";"";""
"Page Challenge";"challenge.verset1_fr";"« Et cramponnez-vous tous ensemble au câble d'Allah et ne vous divisez pas ; et rappelez-vous le bienfait d'Allah sur vous. »";"ABSENT";"";""
"Page Challenge";"challenge.verset1_ref";"— Coran, sourate Âl-'Imrân (3), verset 103";"ABSENT";"";""
"Page Challenge";"challenge.verset2_ar";"وَتَعَاوَنُوا عَلَى الْبِرِّ وَالتَّقْوَىٰ";"ABSENT";"";""
"Page Challenge";"challenge.verset2_fr";"« Entraidez-vous dans la piété et la crainte de Dieu. »";"ABSENT";"";""
"Page Challenge";"challenge.verset2_ref";"— Coran, sourate Al-Mâ'ida (5), verset 2";"ABSENT";"";""
"Page Challenge";"challenge.versets_title";"Les Versets Coraniques (Révélation)";"ABSENT";"";""
"Page Commissions";"commissions.c1_text";"Renforcer le lien spirituel des membres à travers le Coran, les Khassidas, le Salaatu quotidien, les conférences et l'éducation islamique.";"ABSENT";"";""
"Page Commissions";"commissions.c1_title";"Éducation & Culture";"ABSENT";"";""
"Page Commissions";"commissions.c2_text";"Gestion transparente des cotisations, des dons, de la comptabilité et du financement des activités du Dahira.";"ABSENT";"";""
"Page Commissions";"commissions.c2_title";"Finances";"ABSENT";"";""
"Page Commissions";"commissions.c3_text";"Solidarité communautaire, assistance aux membres, projets sociaux et actions de développement.";"ABSENT";"";""
"Page Commissions";"commissions.c3_title";"Sociale & Développement";"ABSENT";"";""
"Page Commissions";"commissions.c4_text";"Coordination des événements, logistique, journées spirituelles, rencontres et activités du Dahira.";"ABSENT";"";""
"Page Commissions";"commissions.c4_title";"Organisation";"ABSENT";"";""
"Page Commissions";"commissions.c5_text";"Gestion des annonces officielles, réseaux sociaux, médias, publications et rayonnement numérique.";"ABSENT";"";""
"Page Commissions";"commissions.c5_title";"Communication";"ABSENT";"";""
"Page Commissions";"commissions.c6_text";"Développement des partenariats, représentation institutionnelle et ouverture internationale du Dahira.";"ABSENT";"";""
"Page Commissions";"commissions.c6_title";"Relations Extérieures";"ABSENT";"";""
"Page Commissions";"commissions.c7_text";"Gestion administrative générale, démarches institutionnelles, suivi des dossiers et conformité du Dahira.";"ABSENT";"";""
"Page Commissions";"commissions.c7_title";"Administratif";"ABSENT";"";""
"Page Commissions";"commissions.c8_text";"Tenue des comptes-rendus, organisation des réunions, archivage des documents et correspondance officielle.";"ABSENT";"";""
"Page Commissions";"commissions.c8_title";"Secrétariat";"ABSENT";"";""
"Page Commissions";"commissions.intro";"Les commissions du Dahira Kippangog Salaatu 'Alaa Nabii assurent l'organisation, l'éducation, la solidarité, la communication et le développement spirituel de la communauté.";"ABSENT";"";""
"Page Contact";"contact.badge";"Contact Officiel";"ABSENT";"";""
"Page Contact";"contact.desc";"Une question, une adhésion, une collaboration ou une demande d'information ? Notre équipe est disponible pour vous accompagner.";"ABSENT";"";""
"Page Contact";"contact.form_desc";"Votre message s'ouvrira directement sur notre WhatsApp officiel.";"ABSENT";"";""
"Page Contact";"contact.form_title";"Envoyer un message";"ABSENT";"";""
"Page Contact";"contact.hq";"📍 Siège du Dahira";"ABSENT";"";""
"Page Contact";"contact.placeholder_email";"Adresse email";"ABSENT";"";""
"Page Contact";"contact.placeholder_message";"Votre message...";"ABSENT";"";""
"Page Contact";"contact.placeholder_name";"Nom complet";"ABSENT";"";""
"Page Contact";"contact.placeholder_phone";"Téléphone (optionnel)";"ABSENT";"";""
"Page Contact";"contact.send_btn";"Envoyer via WhatsApp";"ABSENT";"";""
"Page Contact";"contact.title";"Entrer en Contact Avec la KSN";"ABSENT";"";""
"Page Contact";"contact.wa";"💬 WhatsApp Officiel";"ABSENT";"";""
"Page Contact";"contact.wa_btn";"Contacter KSN";"ABSENT";"";""
"Page Contact";"contact.web";"🌐 Site Officiel";"ABSENT";"";""
"Page Faire un don";"don.arabic";"وَأَنفِقُوا فِي سَبِيلِ اللَّهِ";"ABSENT";"";""
"Page Faire un don";"don.card_number";"Numéro de carte (4444 ...)";"FRANCAIS TEL QUEL";"";""
"Page Faire un don";"don.contact_btn";"Contacter KSN directement";"ABSENT";"";""
"Page Faire un don";"don.custom_amount";"Montant libre — contactez-nous sur WhatsApp";"ABSENT";"";""
"Page Faire un don";"don.desc";"Votre don soutient les activités spirituelles, l'éducation, la solidarité et le rayonnement international du Dahira KSN.";"ABSENT";"";""
"Page Faire un don";"don.official_number";"Numéro officiel";"ABSENT";"";""
"Page Faire un don";"don.om_badge";"Mobile Money";"ABSENT";"";""
"Page Faire un don";"don.om_confirm";"Confirmer votre don sur WhatsApp";"ABSENT";"";""
"Page Faire un don";"don.om_desc";"Envoyez votre don directement au numéro officiel KSN via l'application Orange Money ou le code #144#.";"ABSENT";"";""
"Page Faire un don";"don.om_title";"Orange Money";"ABSENT";"";""
"Page Faire un don";"don.overline";"Soutenir le Dahira";"ABSENT";"";""
"Page Faire un don";"don.paypal_badge";"PayPal";"FRANCAIS TEL QUEL";"";""
"Page Faire un don";"don.paypal_title";"PayPal Express Checkout";"FRANCAIS TEL QUEL";"";""
"Page Faire un don";"don.receipt_title";"Reçu de Don Électronique";"FRANCAIS TEL QUEL";"";""
"Page Faire un don";"don.step_currency";"1. Devise";"FRANCAIS TEL QUEL";"";""
"Page Faire un don";"don.stripe_badge";"Stripe / Carte";"FRANCAIS TEL QUEL";"";""
"Page Faire un don";"don.stripe_title";"Saisie sécurisée Stripe";"FRANCAIS TEL QUEL";"";""
"Page Faire un don";"don.thanks_arabic";"بَارَكَ اللَّهُ فِيكُمْ";"ABSENT";"";""
"Page Faire un don";"don.thanks_desc";"Chaque don, quelle que soit sa nature, contribue au rayonnement spirituel du Dahira KSN et soutient nos activités au service de la Prière sur le Prophète Muhammad ﷺ.";"ABSENT";"";""
"Page Faire un don";"don.thanks_hadith";"« Celui qui fait l'aumône avec l'équivalent d'une datte gagnée licitement, Allah la prend et la fait fructifier comme l'un de vous élève son poulain. » — Hadith";"ABSENT";"";""
"Page Faire un don";"don.thanks_title";"Merci de votre soutien";"ABSENT";"";""
"Page Faire un don";"don.title";"Faire un Don";"ABSENT";"";""
"Page Faire un don";"don.uba_badge";"Virement bancaire";"ABSENT";"";""
"Page Faire un don";"don.uba_beneficiary";"Bénéficiaire : Dahira Kippangog Salaatu 'Alaa Nabii";"ABSENT";"";""
"Page Faire un don";"don.uba_confirm";"Confirmer votre virement sur WhatsApp";"ABSENT";"";""
"Page Faire un don";"don.uba_desc";"Pour les dons importants ou les virements internationaux, effectuez un virement bancaire sur le compte UBA officiel du Dahira KSN.";"ABSENT";"";""
"Page Faire un don";"don.uba_number";"Numéro de compte";"ABSENT";"";""
"Page Faire un don";"don.uba_title";"Compte UBA";"ABSENT";"";""
"Page Faire un don";"don.wave_badge";"Paiement instantané";"ABSENT";"";""
"Page Faire un don";"don.wave_desc";"Choisissez un montant et finalisez votre don en un clic.";"ABSENT";"";""
"Page Faire un don";"don.wave_link_coming";"Lien à venir";"ABSENT";"";""
"Page Faire un don";"don.wave_title";"Don via Wave";"ABSENT";"";""
"Page FAQ";"faq.a1_1";"Le Dahira KSN est une organisation religieuse à but non lucratif fondée le 2 janvier 2021 à Touba, Sénégal. Sa mission est de promouvoir la prière sur le Prophète Muhammad ﷺ (Salaatu) à travers une communauté internationale structurée, des activités spirituelles régulières et un engagement collectif quotidien.";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.a1_2";"Toute personne aimant le Prophète Muhammad ﷺ peut rejoindre, quel que soit son pays, sa langue ou son origine. L'adhésion est ouverte aux musulmans du monde entier qui souhaitent multiplier les Salaatu individuels et participer à la dynamique communautaire du Dahira.";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.a1_3";"Le Dahira KSN est ancré dans la tradition spirituelle de Touba (voie mouride) et reconnaît l'héritage du Cheikh Ahmadou Bamba (qu'Allah l'agrée). Notre objet est exclusivement le Salaatu ʿAlaa Nabii — la prière sur le Prophète ﷺ — qui est commun à tous les musulmans.";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.a2_1";"Trois étapes : remplir le formulaire sur la page /inscription, régler votre carte de membre (1 000 FCFA) via Wave, puis accéder à votre espace membre avec votre matricule officiel et votre carte imprimable.";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.a2_2";"La carte de membre coûte 1 000 FCFA, réglée une seule fois à l'inscription. S'y ajoutent une cotisation mensuelle de 500 FCFA et un renouvellement annuel de 500 FCFA, fixés par le Règlement Intérieur.";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.a2_3";"Une fois votre paiement validé, votre carte de membre KSN au format CR-80 (taille carte bancaire) apparaît automatiquement dans votre espace membre. Vous pouvez l'imprimer directement depuis votre profil ou la sauvegarder sur votre téléphone pour la présenter lors des événements.";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.a2_4";"Une fois le paiement Wave effectué, cliquez sur le bouton vert « J'ai payé — Activer mon compte » dans votre espace membre. Si le bouton ne s'active pas, contactez-nous via WhatsApp avec votre reçu de paiement, nous validerons manuellement.";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.a3_1";"C'est notre défi spirituel collectif : offrir 1 milliard de Salaatu au Prophète Muhammad ﷺ par l'effort cumulé de tous les membres KSN. Le compteur en direct sur /challenge montre la progression mondiale en temps réel.";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.a3_2";"Téléchargez l'application mobile KSN sur l'App Store ou Google Play. Chaque Salaatu que vous récitez et comptez dans l'app s'ajoute automatiquement au total mondial. Plus la communauté grandit, plus vite nous atteignons le milliard.";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.a3_3";"Non, le Challenge est un effort continu sans deadline. Notre rythme actuel est d'environ 7 millions de Salaatu par semaine. À ce rythme, nous progressons vers le milliard de façon constante. Plus de membres = atteinte plus rapide.";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.a4_2";"Non, la Journée Salaatu est ouverte à tous — membres KSN, sympathisants, invités étrangers et oumma locale de Touba. Cependant, l'adhésion au Dahira reste recommandée pour bénéficier de l'accompagnement spirituel toute l'année.";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.a4_3";"L'aéroport international de Dakar (AIBD) est à environ 2h de route de Touba. Pour l'hébergement, le transport depuis Dakar et les détails logistiques, contactez l'équipe via WhatsApp — nous accompagnons les visiteurs internationaux.";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.a5_1";"L'application mobile (Kippaangog) est dédiée au comptage quotidien des Salaatu et synchronise avec le compteur mondial. Le site (Site KSN) est l'espace institutionnel : adhésion, carte de membre, bibliothèque, événements, boutique, dons. Les deux sont complémentaires.";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.a5_2";"Oui, l'application Kippaangog Salaatu ʿAlaa Nabii est entièrement gratuite sur l'App Store (iOS) et Google Play (Android). Aucun abonnement, aucun achat in-app obligatoire.";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.a6_1";"Pour les utilisateurs au Sénégal : Wave, Orange Money, UBA. Pour les utilisateurs internationaux : carte bancaire (Stripe) et PayPal sont disponibles sur la page /don. Tous les paiements sont sécurisés.";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.a6_2";"Cela dépend de votre pays de résidence. Au Sénégal, le Dahira est une organisation religieuse à but non lucratif et les dons peuvent bénéficier d'avantages fiscaux selon la législation en vigueur. Pour les détails dans votre pays, consultez votre conseiller fiscal.";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.a6_3";"La Commission Finances publie un rapport annuel de transparence accessible sur demande à tous les membres actifs. Les principaux postes de dépense : organisation de la Journée annuelle, hébergement des invités, communication, soutien social aux membres en difficulté.";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.arabic";"الأسئلة المتداولة";"ABSENT";"";""
"Page FAQ";"faq.cat2_title";"Adhésion et Espace membre";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.cat3_title";"Challenge 1 Milliard de Salaatu";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.cat4_title";"Journée Salaatu ʿAlaa Nabii";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.cat5_title";"Application mobile KSN";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.cat6_title";"Dons et paiements";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.desc";"Les réponses aux questions les plus fréquemment posées sur le Dahira KSN, l'adhésion, le Challenge 1 Milliard, la Journée Salaatu, l'application mobile et bien plus.";"ABSENT";"";""
"Page FAQ";"faq.extra_btn";"Poser ma question via WhatsApp";"ABSENT";"";""
"Page FAQ";"faq.extra_contact";"Formulaire de contact →";"ABSENT";"";""
"Page FAQ";"faq.extra_desc";"Notre équipe WhatsApp répond rapidement à toutes les questions spécifiques. N'hésitez pas, aucune question n'est trop simple ou trop complexe.";"ABSENT";"";""
"Page FAQ";"faq.extra_share";"Partager cette FAQ";"ABSENT";"";""
"Page FAQ";"faq.extra_title";"Votre question n'est pas dans la liste ?";"ABSENT";"";""
"Page FAQ";"faq.overline";"Questions fréquentes";"ABSENT";"";""
"Page FAQ";"faq.q1_1";"Qu'est-ce que le Dahira Kippangog Salaatu ʿAlaa Nabii ?";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.q1_2";"Qui peut rejoindre le Dahira KSN ?";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.q1_3";"Le Dahira est-il rattaché à une confrérie ou à un Cheikh particulier ?";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.q2_1";"Comment devenir membre officiel du Dahira ?";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.q2_3";"Comment recevoir ma carte de membre ?";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.q2_4";"J'ai déjà payé mais ma page reste sur ""En attente"". Que faire ?";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.q3_1";"Qu'est-ce que le Challenge 1 Milliard ?";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.q3_2";"Comment contribuer au Challenge ?";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.q3_3";"Y a-t-il une date limite pour atteindre le milliard ?";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.q4_1";"Quand a lieu la prochaine Journée Salaatu ?";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.q4_2";"Faut-il être membre pour participer à la Journée ?";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.q4_3";"Comment se rendre à Touba depuis l'étranger ?";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.q5_1";"Quelle est la différence entre l'application mobile et ce site ?";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.q5_2";"L'application mobile est-elle gratuite ?";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.q6_1";"Quels moyens de paiement acceptez-vous ?";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.q6_2";"Mon don est-il déductible des impôts ?";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.q6_3";"Comment savoir comment mon don est utilisé ?";"FRANCAIS TEL QUEL";"";""
"Page FAQ";"faq.summary";"Sommaire — {sectionCount} sections, {questionCount} questions";"ABSENT";"{sectionCount} {questionCount}";""
