"Page / section";"Cle";"Francais";"Wolof actuel";"WOLOF corrige (si besoin)"
"Boutons d'appel";"cta.contact_whatsapp";"Contacter sur WhatsApp";"Jokk ci WhatsApp";""
"Boutons d'appel";"cta.discover";"Découvrir KSN";"Xam KSN";""
"Boutons d'appel";"cta.donate";"Faire un Don";"Defal Yónne";""
"Boutons d'appel";"cta.follow_us";"Suivez-nous";"Toopal nu";""
"Boutons d'appel";"cta.join";"Rejoindre le Dahira";"Bokk ci Dahira ji";""
"Boutons d'appel";"cta.member";"Devenir Membre";"Nekk ci Mbokk";""
"Boutons d'appel";"cta.read_more";"Lire l'article";"Jëfandikoo bind bi";""
"Boutons d'appel";"cta.send_whatsapp";"Envoyer via WhatsApp";"Yónne ci WhatsApp";""
"Compte a rebours";"countdown.gammu_passed";"Le Gàmmu a eu lieu — Alhamdoulillah pour cette édition.";"Gàmmu bi jàll na — Alhamdoulillah ci fànn yu barkeel yi.";""
"Documents officiels";"documents.download_btn";"Télécharger le document PDF";"Yeb kayit PDF bi";""
"Documents officiels";"documents.intro";"Consultez et téléchargez les documents de référence qui régissent l'organisation et le fonctionnement du Dahira Kippangog Salaatu 'Alaa Nabii.";"Xoolal te yeb ay kayit yu njëkk yi tax na tëralin ak liggéeyu Dahira Kippangog Salaatu 'Alaa Nabii.";""
"Documents officiels";"documents.overline";"Ressources & Transparence";"Jumtukaay & Leeral";""
"Documents officiels";"documents.title";"Documents Officiels KSN";"Ay kayit yu officiel KSN";""
"Galerie photos";"gallery.cat_activites";"Activités";"Jëf yi";""
"Galerie photos";"gallery.cat_assemblee";"Assemblée générale";"Ndaje mu mag";""
"Galerie photos";"gallery.cat_evenements";"Événements";"Xew yi";""
"Galerie photos";"gallery.cat_journee";"Journée Salaatu";"Bisu Salaatu";""
"Galerie photos";"gallery.cat_tous";"Tous";"Yépp";""
"Galerie photos";"gallery.desc";"Cliquez sur une photo pour la voir en grand. Filtrez par catégorie pour retrouver un événement précis.";"Bësal ci nataal ngir gis ko bu mag. Tannal ci catégorie ngir gis benn xew bu wér.";""
"Galerie photos";"gallery.empty";"Aucune photo dans cette catégorie pour l'instant.";"Amul benn nataal ci catégorie bii léegi.";""
"Galerie photos";"gallery.footer";"Galerie alimentée par l'équipe KSN — {count} photos disponibles.";"Galeri bi ekibu KSN moo koy toppatoo — {count} nataal ñoo am.";""
"Galerie photos";"gallery.overline";"Galerie Photos KSN";"Galeri Nataal KSN";""
"Galerie photos";"gallery.title";"Moments du Dahira";"Jamonoy Dahira ji";""
"Identite du site";"site.location";"Touba, Sénégal";"Touba, Senegaal";""
"Identite du site";"site.motto";"Prière • Spiritualité • Rayonnement";"Ñaan • Diiney • Leeral";""
"Identite du site";"site.tagline";"Site Officiel International";"Site Bi Maam ji";""
"Mois de l'annee";"month.apr";"Avr";"Awu";""
"Mois de l'annee";"month.april";"Avril";"Awril";""
"Mois de l'annee";"month.aug";"Aoû";"Ut";""
"Mois de l'annee";"month.august";"Août";"Ut";""
"Mois de l'annee";"month.dec";"Déc";"Des";""
"Mois de l'annee";"month.december";"Décembre";"Desambar";""
"Mois de l'annee";"month.feb";"Fév";"Fee";""
"Mois de l'annee";"month.february";"Février";"Feebriyee";""
"Mois de l'annee";"month.jan";"Jan";"San";""
"Mois de l'annee";"month.january";"Janvier";"Sanwiyee";""
"Mois de l'annee";"month.jul";"Jul";"Zul";""
"Mois de l'annee";"month.july";"Juillet";"Sulyee";""
"Mois de l'annee";"month.jun";"Jui";"Zwe";""
"Mois de l'annee";"month.june";"Juin";"Suwe";""
"Mois de l'annee";"month.may";"Mai";"Mee";""
"Mois de l'annee";"month.may_full";"Mai";"Mee";""
"Mois de l'annee";"month.nov";"Nov";"Now";""
"Mois de l'annee";"month.november";"Novembre";"Nowambar";""
"Mois de l'annee";"month.oct";"Oct";"Okt";""
"Mois de l'annee";"month.october";"Octobre";"Oktoobar";""
"Mois de l'annee";"month.sep";"Sep";"Sat";""
"Mois de l'annee";"month.september";"Septembre";"Sattumbar";""
"Onglets";"tabs.activites";"Activités";"Jëf yi";""
"Onglets";"tabs.bibliotheque";"Bibliothèque";"Téereekaay bi";""
"Onglets";"tabs.direct";"Direct";"Direct bi";""
"Onglets";"tabs.galerie";"Galerie";"Galeri bi";""
"Onglets";"tabs.jalons";"Les jalons";"Jamono yi";""
"Onglets";"tabs.jour";"Salaatou du jour";"Salaatou bisu tey";""
"Onglets";"tabs.origines";"Origines";"Cosaan";""
"Onglets";"tabs.participer";"Participer";"Bokk ci";""
"Onglets";"tabs.presentation";"Présentation";"Njëkk";""
"Onglets";"tabs.programme";"Programme";"Prograam bi";""
"Onglets";"tabs.progression";"Progression";"Yokkute bi";""
"Onglets";"tabs.reseaux";"Réseaux sociaux";"Réseaux yi";""
"Onglets";"tabs.ressources";"Ressources";"Njumtukaay yi";""
"Onglets";"tabs.spirituel";"Versets & Hadiths";"Aaya ak Hadiis";""
"Onglets";"tabs.temoignages";"Témoignages";"Seede yi";""
"Onglets";"tabs.valeurs";"Nos valeurs";"Sunu gëm-gëm";""
"Page Challenge";"challenge.countdown_overline";"Objectif Spirituel";"Péxé bu Mag";""
"Page Challenge";"challenge.countdown_title";"Compte à rebours jusqu'au Gàmmu (Mawlid)";"Limu waxtu jëm ci Gàmmu bi";""
"Page Challenge";"challenge.hover_details";"Survolez les points pour voir les détails";"Lal points yi ngir gis details yi";""
"Page Challenge";"challenge.leader";"Leader";"Njiit";""
"Page Challenge";"challenge.leaderboard_desc";"Félicitations et prières pour nos sections locales à travers le monde. Voici le classement des sections les plus actives du Challenge 1 Milliard.";"Teyal ak ñaan ngir sunu section locales ci adduna bi. Limu section yi gën a active ci Challenge 1 Milyar.";""
"Page Challenge";"challenge.leaderboard_title";"Les sections leaders";"Section yi jiitu";""
"Page Challenge";"challenge.progression_label";"Progression";"Yokkute";""
"Page Challenge";"challenge.projected";"Projeté";"Ndortel";""
"Page Challenge";"challenge.realized";"Réalisé";"Def na";""
"Page Challenge";"challenge.select_month";"Sélectionner un mois";"Tannal weer";""
"Page Challenge";"challenge.trend_desc";"Suivi de la progression cumulée vers l'objectif spirituel du milliard. La ligne pointillée représente les projections basées sur le rythme actuel.";"Toopal yokkug Salaat jëm ci milyar bi. Yoon bu rëdd bi mooy ndortel rythme bi.";""
"Page Challenge";"challenge.trend_overline";"Tendances & Prévisions 2026";"Doxalin & Ndortel 2026";""
"Page Challenge";"challenge.trend_title";"Progression Mensuelle";"Yokkug Weer Wu Nek";""
"Page Contact";"contact.wa_alert";"📩 Nouveau message depuis le site KSN";"📩 Bataaxal bu bees bu jóge ci site KSN";""
"Page Contact";"contactpage.hero_desc";"Une question, une adhésion, une collaboration ou une demande d'information ? Notre équipe est disponible pour vous accompagner.";"Benn laaj, benn bokk, benn liggéeyandoo walla benn ñaan ci xibaar? Sunu ekib mi am na ngir dimbali la.";""
"Page Faire un don";"don.btn_processing";"Traitement sécurisé...";"Processing sécurisé...";""
"Page Faire un don";"don.btn_submit";"Valider mon don";"Teral sa ndimbal";""
"Page Faire un don";"don.details_error";"Veuillez renseigner votre nom et votre adresse email.";"Bindal sa tur ak sa email.";""
"Page Faire un don";"don.intl_badge";"Diaspora & International";"Bitti réew & Adduna";""
"Page Faire un don";"don.intl_desc";"Soutenez le Dahira KSN depuis l'étranger par Carte Bancaire ou PayPal. Reçu fiscal électronique généré automatiquement.";"Dimbali Dahira KSN ci bitti réew ci Carte walla PayPal. Reçu fiscal électronique day def automatiquement.";""
"Page Faire un don";"don.intl_title";"Dons Sécurisés (Stripe + PayPal)";"Dimbal yu Sécurisé (Stripe + PayPal)";""
"Page Faire un don";"don.new_donation";"Faire un nouveau don";"Defal leneen ndimbal";""
"Page Faire un don";"don.other_amount";"Autre montant :";"Leneen lim:";""
"Page Faire un don";"don.payment_method";"Méthode de Paiement";"Yoonu Yónne";""
"Page Faire un don";"don.paypal_btn";"Payer avec PayPal";"Fay ci PayPal";""
"Page Faire un don";"don.paypal_desc";"Ouvre une fenêtre pop-up sécurisée PayPal pour finaliser votre don de manière confidentielle.";"Day ubbil fenêtre pop-up PayPal ngir finaliser sa ndimbal ci yoonu kër.";""
"Page Faire un don";"don.placeholder_custom";"Saisissez un montant...";"Bindal lim bi...";""
"Page Faire un don";"don.processing_error";"Une erreur est survenue lors du traitement du don. Veuillez réessayer.";"Erreur am na ci ndimbal mi. Jéemaatël.";""
"Page Faire un don";"don.receipt_donor";"Bienfaiteur :";"Bienfaiteur:";""
"Page Faire un don";"don.receipt_email";"Email :";"Email:";""
"Page Faire un don";"don.receipt_email_sent";"Un e-mail de confirmation contenant votre reçu au format PDF a été envoyé à l'adresse {email}.";"Email de confirmation yónne na ci {email} ak reçuu PDF.";""
"Page Faire un don";"don.receipt_status";"Statut :";"Statut:";""
"Page Faire un don";"don.receipt_success";"Succès ✓";"Nangu ✓";""
"Page Faire un don";"don.receipt_tx";"Transaction N° :";"Transaction N°:";""
"Page Faire un don";"don.secured_ssl";"Données chiffrées SSL 256-bits.";"SSL 256-bits chiffré.";""
"Page Faire un don";"don.step_amount";"2. Montant du don";"2. Limu ndimbal";""
"Page Faire un don";"don.step_details";"3. Vos coordonnées";"3. Say detail";""
"Page Faire un don";"don.success_desc";"Votre don de {amount} a été validé avec succès.";"Sa ndimbal bu {amount} nangu na bu baax.";""
"Page Faire un don";"don.success_thanks";"Merci infiniment !";"Jërëjëf bu bari!";""
"Page Faire un don";"don.total";"Total Don :";"Limu Ndimbal:";""
"Page Faire un don";"don.validation_error";"Veuillez indiquer un montant valide.";"Bindal lim bu dëgg.";""
"Page FAQ";"faq.a4_1";"La prochaine édition aura lieu le 26 décembre 2026 à Touba. Le programme complet est publié sur /journee-salaatu avec compte à rebours, horaires détaillés et options de participation (présence physique, distance, soutien).";"La prochaine édition aura lieu le 26 décembre 2026 à Touba. Le programme complet est publié sur /journee-salaatu avec compte à rebours, horaires détaillent et options de participation (présence physique, distance, soutien).";""
"Page FAQ";"faq.cat1_title";"Le Dahira KSN";"Dahira KSN";""
"Page FAQ";"faq.q2_2";"Combien coûte l'adhésion ?";"Ñaata la adhésion bi jar ?";""
"Page Journee Salaatu";"journee.countdown_label";"Prochaine édition :";"Édition bi ci kanam:";""
"Page Journee Salaatu";"journee.cta_join";"Rejoindre le Dahira";"Bokk ci Dahira ji";""
"Page Journee Salaatu";"journee.cta_whatsapp";"Détails WhatsApp";"Xibaar yi ci WhatsApp";""
"Page Journee Salaatu";"journee.event_date";"26 décembre 2026 — Touba";"26 Desàmbar 2026 — Touba";""
"Page Journee Salaatu";"journee.gallery_desc";"Quelques instantanés et conférences capturés lors des précédentes éditions de la Journée Salaatu ʿAlaa Nabii à Touba.";"Ay nataal ak ndaje yu ñu jël ci édition yi weesu yu Bisu Salaatu ʿAlaa Nabii ci Touba.";""
"Page Journee Salaatu";"journee.gallery_loading_photos";"Chargement des photos...";"Nataal yi ñu ngi yeb...";""
"Page Journee Salaatu";"journee.gallery_loading_videos";"Chargement des vidéos...";"Wideo yi ñu ngi yeb...";""
"Page Journee Salaatu";"journee.gallery_no_photos";"Aucune photo souvenir disponible pour le moment.";"Amul benn nataalu fattaliku léegi.";""
"Page Journee Salaatu";"journee.gallery_no_videos";"Aucune vidéo d'archive disponible pour le moment.";"Amul benn wideo bu archive léegi.";""
"Page Journee Salaatu";"journee.gallery_overline";"Souvenirs Multimédias";"Fattaliku yu Multimedia";""
"Page Journee Salaatu";"journee.gallery_photos";"📷 Photos Souvenirs";"📷 Nataal yu Fattaliku";""
"Page Journee Salaatu";"journee.gallery_share_1";"Vous avez des photos ou des vidéos des éditions précédentes ? Partagez-les avec nous via";"Am nga ay nataal walla ay wideo ci édition yi weesu? Séddale ko ak nun ci";""
"Page Journee Salaatu";"journee.gallery_share_2";"elles enrichiront nos galeries pour toute la communauté.";"dina ñu yokk sunu galeri yi ngir mbooloo mépp.";""
"Page Journee Salaatu";"journee.gallery_souvenir";"Souvenir KSN";"Fattaliku KSN";""
"Page Journee Salaatu";"journee.gallery_title";"Les éditions précédentes";"Édition yi weesu";""
"Page Journee Salaatu";"journee.gallery_video_label";"Vidéo";"Wideo";""
"Page Journee Salaatu";"journee.gallery_videos";"🎥 Vidéos & Conférences";"🎥 Wideo ak Ndaje";""
"Page Journee Salaatu";"journee.hero_desc";"Le 26 décembre 2026, la Dahira KSN se réunit à Touba pour une journée entière de prières, chants des Khassida et dhikr.";"26 Desàmbar 2026, Dahira KSN dina daje ci Touba ngir benn bis bu mat sëkk ci ñaan, woyi Xassida yi ak dhikr.";""
"Page Journee Salaatu";"journee.hero_overline";"Événement spirituel annuel";"Xew bu diiney bu at mu nekk";""
"Page Journee Salaatu";"journee.hero_title";"Journée Salaatu ʿAlaa Nabii";"Bisu Salaatu ʿAlaa Nabii";""
"Page Journee Salaatu";"journee.hi1_text";"26 décembre 2026 — date fixée par le Khalife du Dahira pour cette édition annuelle.";"26 Desàmbar 2026 — bés bi Xalifa Dahira ji tëral ngir édition bii.";""
"Page Journee Salaatu";"journee.hi1_title";"Date";"Bés bi";""
"Page Journee Salaatu";"journee.hi2_text";"Touba, Sénégal — capitale spirituelle de la voie mouride et siège du Dahira KSN.";"Touba, Senegaal — péeyu diiney yoonu murit te fa la Dahira KSN dëkk.";""
"Page Journee Salaatu";"journee.hi2_title";"Lieu";"Fan";""
"Page Journee Salaatu";"journee.hi3_text";"Membres KSN, invités étrangers, oumma de Touba et toute personne aimant le Prophète ﷺ.";"Mbokki KSN, gan yu jóge bitim réew, ummay Touba ak képp ku bëgg Yonent bi ﷺ.";""
"Page Journee Salaatu";"journee.hi3_title";"Public";"Ñan";""
"Page Journee Salaatu";"journee.hi4_text";"De 07h00 à 18h30 — récital du Coran, Rajass, Khassida, conférences et mot de clôture.";"07h00 ba 18h30 — jàng Alxuraan, Rajass, Khassida, ndaje ak baatu tëj.";""
"Page Journee Salaatu";"journee.hi4_title";"Durée";"Diir bi";""
"Page Journee Salaatu";"journee.live_badge";"Direct Officiel (Prochaine Édition)";"Direct bu Officiel (Édition bi ci kanam)";""
"Page Journee Salaatu";"journee.live_chat_title";"Flux de prières des fidèles";"Wàllu ñaan yu jullit ñi";""
"Page Journee Salaatu";"journee.live_date_short";"26 Déc. 2026";"26 Des. 2026";""
"Page Journee Salaatu";"journee.live_yt_desc";"La retransmission vidéo débutera le matin de l'événement à 07h00 GMT. Abonnez-vous à notre chaîne officielle pour ne rater aucun live.";"Direct bi dina tàmbali suba bisu xew bi ci 07h00 GMT. Abonne-ko ci sunu chaîne bu officiel ngir bañ a ñàkk benn live.";""
"Page Journee Salaatu";"journee.live_yt_title";"Journée Salaatu ʿAlaa Nabii en direct de Touba";"Bisu Salaatu ʿAlaa Nabii ci direct dale Touba";""
"Page Journee Salaatu";"journee.meaning_overline";"Le sens de la Journée";"Lu Bis bi tekki";""
"Page Journee Salaatu";"journee.meaning_p1";"Fondé le 2 janvier 2021 à Touba, le Dahira";"Dahira ji, sosu woon 2 Sanwiyee 2021 ci Touba,";""
"Page Journee Salaatu";"journee.meaning_p2";"œuvre pour promouvoir la prière sur le Prophète Muhammad ﷺ à travers le monde. Chaque année, le Khalife du Dahira convoque la communauté pour une journée entière dédiée au Salaatu collectif — cette année, le";"day liggéey ngir tas salaatu ci Yonent bi Muhammad ﷺ ci àdduna bi. At mu nekk, Xalifa Dahira ji day woo mbooloo mi ngir benn bis bu mat ngir Salaatu bu mboole — ren, mooy";""
"Page Journee Salaatu";"journee.meaning_title";"Une oumma, un Prophète, une voix";"Benn umma, benn Yonent, benn baat";""
"Page Journee Salaatu";"journee.p1_text";"Petit-déjeuner communautaire, récital du Saint Coran et Rajass conduit par Serigne Khadim Sall et Serigne Fallou Fall.";"Ndékki bu mboole, jàng Alxuraan ju Sell ji ak Rajass bu Serigne Khadim Sall ak Serigne Fallou Fall jiite.";""
"Page Journee Salaatu";"journee.p1_title";"Mise en place & ouverture";"Tëralin ak ubbite";""
"Page Journee Salaatu";"journee.p2_text";"Récitation collective avec Serigne Ibrahima LO, Serigne Moustapha NIANG Koul, Serigne Fallou TOURE et Serigne Mbaye Ndiaye.";"Jàng bu mboole ak Serigne Ibrahima LO, Serigne Moustapha NIANG Koul, Serigne Fallou TOURE ak Serigne Mbaye Ndiaye.";""
"Page Journee Salaatu";"journee.p3_text";"Pause prière de Dohr suivie du déjeuner partagé entre tous les participants.";"Noppalu julli Tisbaar, topp ci añ bu mboole ci diggante ñépp ñi teew.";""
"Page Journee Salaatu";"journee.p3_title";"Prière & déjeuner";"Julli ak añ";""
"Page Journee Salaatu";"journee.p4_text";"Récitation des Khassida par le Kourel Hizbut Tarqiya.";"Jàng Khassida yi ci loxol Kourel Hizbut Tarqiya.";""
"Page Journee Salaatu";"journee.p4_title";"Déclamation des Khassida";"Jàngum Khassida yi";""
"Page Journee Salaatu";"journee.p5_text";"Conférence de Serigne Moustapha Badiane, suivie de la prière collective et du mot officiel du Dahira KSN.";"Ndaje mu Serigne Moustapha Badiane, topp ci julli bu mboole ak baatu officiel bu Dahira KSN.";""
"Page Journee Salaatu";"journee.p5_title";"Conférence & Mot du Dahira";"Ndaje ak Baatu Dahira ji";""
"Page Journee Salaatu";"journee.p6_text";"Intervention de Serigne Ahmadou Mbacke Darou Mouhty.";"Waxu Serigne Ahmadou Mbacke Darou Mouhty.";""
"Page Journee Salaatu";"journee.p6_title";"Conférence — Darou Mouhty";"Ndaje — Darou Mouhty";""
"Page Journee Salaatu";"journee.p7_text";"Allocution finale par Serigne Bassirou Toure, duas et clôture de la journée.";"Wax ju mujj ju Serigne Bassirou Toure, ñaan ak tëj bis bi.";""
"Page Journee Salaatu";"journee.p7_title";"Mot de la Fin";"Baatu Tëj";""
"Page Journee Salaatu";"journee.part_overline";"Participer à la Journée";"Bokk ci Bis bi";""
"Page Journee Salaatu";"journee.part_title";"Trois façons d'être présent";"Ñetti yoon ngir teew";""
"Page Journee Salaatu";"journee.prog_desc";"Programme officiel reconduit de l'édition précédente — il pourra être ajusté par le Khalife du Dahira avant le jour J.";"Prograam bu officiel bu jóge ci édition bi weesu — Xalifa Dahira ji mën na ko soppi balaa bis bi.";""
"Page Journee Salaatu";"journee.prog_overline";"Programme de la journée";"Prograamu bis bi";""
"Page Journee Salaatu";"journee.prog_title";"Une journée, sept moments forts";"Benn bis, juróom-ñaari jamono yu mag";""
"Page Journee Salaatu";"journee.share_label";"Partager l'événement";"Séddale xew bi";""
"Page Journee Salaatu";"journee.share_text";"Rejoignez-nous à Touba le 26 décembre 2026 pour la Journée Salaatu ʿAlaa Nabii — une journée entière dédiée à la prière sur le Prophète Muhammad ﷺ.";"Fekksil nu ci Touba 26 Desàmbar 2026 ngir Bisu Salaatu ʿAlaa Nabii — benn bis bu mat sëkk bu ñu jagleel salaatu ci Yonent bi Muhammad ﷺ.";""
"Page Journee Salaatu";"journee.share_title";"Journée Salaatu ʿAlaa Nabii — 26 décembre 2026";"Bisu Salaatu ʿAlaa Nabii — 26 Desàmbar 2026";""
"Page Journee Salaatu";"journee.verse_ref";"— Coran, sourate Al-Ahzâb (33), verset 56";"— Alxuraan, saaru Al-Ahzâb (33), laaya 56";""
"Page Journee Salaatu";"journee.verse_trans";"« Certes, Allah et Ses Anges prient sur le Prophète. Ô vous qui croyez, priez sur lui et adressez-lui vos salutations. »";"« Dëgg-dëgg, Yàlla ak ay Malaakaam dañuy julli ci Yonent bi. Yéen ñi gëm, jullileen ci moom te nuyu leen ko bu baax. »";""
"Page Journee Salaatu";"journee.w1_cta";"Contacter le Dahira";"Jokkoo ak Dahira ji";""
"Page Journee Salaatu";"journee.w1_text";"Rejoignez physiquement la oumma au siège du Dahira. Contactez l'équipe WhatsApp pour l'hébergement et les détails pratiques.";"Fekksil umma bi ci dëkkub Dahira ji. Jokkool ak ekibu WhatsApp ngir dalu ak xibaar yu wér.";""
"Page Journee Salaatu";"journee.w1_title";"Venir à Touba";"Ñëw ci Touba";""
"Page Journee Salaatu";"journee.w2_cta";"Voir le Challenge";"Xool Challenge bi";""
"Page Journee Salaatu";"journee.w2_text";"Suivez le live sur YouTube et nos réseaux sociaux. Multipliez vos Salaatu depuis chez vous via l'app KSN — ils comptent pour le Challenge 1 Milliard.";"Toppal live bi ci YouTube ak sunu réseaux sociaux. Yokkal say Salaatu fa nga dëkk ci app KSN — dañuy bokk ci Challenge 1 Milyaar bi.";""
"Page Journee Salaatu";"journee.w2_title";"Participer à distance";"Bokk fu sore";""
"Page Journee Salaatu";"journee.w3_cta";"Faire un don dédié";"Defal yónne bu jagleel";""
"Page Journee Salaatu";"journee.w3_text";"L'organisation de la journée (repas, sono, hébergement des invités) repose sur les dons des membres et sympathisants.";"Tëralin bisu bi (lekk, sono, dalu gan ñi) day sukkandiku ci yónne yu mbokk yi ak way-jàppale yi.";""
"Page Journee Salaatu";"journee.w3_title";"Soutenir financièrement";"Jàppale ci alal";""
"Page Le Dahira";"dahirapage.hero_desc";"Découvrez la présidence, les commissions officielles, le règlement intérieur et toute l'organisation du Dahira Kippangog Salaatu 'Alaa Nabii.";"Xamal njiit gi, ay kër yu officiel yi, yoon yi ak tëralinu Dahira Kippangog Salaatu 'Alaa Nabii.";""
"Page Le Dahira";"dahirapage.hero_overline";"Organisation Spirituelle";"Mbootaay Diiney";""
"Page Le Dahira";"dahirapage.hero_title";"Le Dahira KSN";"Dahira KSN";""
"Page Le Dahira";"ledahira.card1_text";"Promouvoir l'amour du Prophète ﷺ à travers le Salaatu, les Khassidas, les Azkâr et l'éducation spirituelle.";"Tax mbëggeel Yonent bi ﷺ jëm kanam ci Salaatu, Khassida yi, Azkâr yi ak njàngum diiney.";""
"Page Le Dahira";"ledahira.card1_title";"Notre Mission";"Sunu Mission";""
"Page Le Dahira";"ledahira.card2_text";"Une organisation structurée avec Présidence, Secrétariat Général, Finances, Organisation et plusieurs commissions officielles.";"Mbootaay bu tëral ak Njiit, Sekerteer Bu Mag, Alal, Yax ak ay kër yu officiel.";""
"Page Le Dahira";"ledahira.card2_title";"Bureau du Dahira";"Biro Dahira ji";""
"Page Le Dahira";"ledahira.card3_text";"Participation active au Salaatu, activités spirituelles, événements, application KSN et vie communautaire.";"Bokk ci Salaatu, yëngu-yëngu diiney, xew-xew yi, applikaasion KSN ak dund mbokk mi.";""
"Page Le Dahira";"ledahira.card3_title";"Vie du Membre";"Dund Mbokk mi";""
"Page Le Dahira";"ledahira.card4_text";"Discipline, engagement spirituel, organisation et principes officiels du Dahira KSN.";"Yoon, jële ci diiney, tëralin ak ay sàrti officiel yu Dahira KSN.";""
"Page Le Dahira";"ledahira.card4_title";"Règlement Intérieur";"Yoon yi";""
"Page Le Dahira";"ledahira.card5_text";"Éducation, Culture, Finances, Sociale, Organisation et développement communautaire.";"Njàng, Aada, Alal, Sosial, Yax ak yokkutey mbokk mi.";""
"Page Le Dahira";"ledahira.card5_title";"Plan d'Actions";"Pexem Liggéey";""
"Page Le Dahira";"ledahira.intro";"Fondé le 02 Janvier 2021 à Touba, Kippangog Salaatu 'Alaa Nabii œuvre pour la promotion de la Prière sur le Prophète Muhammad ﷺ, la fraternité spirituelle et le rayonnement du Dahira à travers le monde.";"Dahira Kippangog Salaatu 'Alaa Nabii sosu na 02 Sanwiyee 2021 ci Touba, ngir tëralu Salaatu ci Yonent bi Muhammad ﷺ, mbokk ci diiney ak leeralu Dahira ji ci àdduna bi.";""
"Page Le Dahira";"ledahira.join_cta";"Adhérer Maintenant";"Bokkal Léegi";""
"Page Le Dahira";"ledahira.join_text";"Devenez membre officiel du Dahira et participez à cette mission spirituelle internationale.";"Nekkal mbokk bu officiel ci Dahira ji te bokk ci mission diiney bii ci àdduna bi.";""
"Page Le Dahira";"ledahira.join_title";"Rejoindre la KSN";"Bokk ci KSN";""
"Page Le Dahira";"ledahira.overline";"Le Dahira";"Dahira ji";""
"Page Le Dahira";"ledahira.title_l1";"Une Organisation Spirituelle";"Benn mbootaay diiney";""
"Page Le Dahira";"ledahira.title_l2";"Moderne & Structurée";"bu yees te tëral";""
"Page Le Dahira — onglets";"dahiratabs.commissions";"Commissions";"Komisioŋ yi";""
"Page Le Dahira — onglets";"dahiratabs.dahira";"Le Dahira";"Dahira ji";""
"Page Le Dahira — onglets";"dahiratabs.documents";"Documents";"Dokimaa yi";""
"Page Le Dahira — onglets";"dahiratabs.organigramme";"Organigramme";"Tëralin wi";""
"Page Le Dahira — onglets";"dahiratabs.presidence";"Présidence";"Njiit yi";""
