"Cle","Francais","Wolof","English","Italiano","Espanol","Arabe"
"salaatu.reward_text","Allah prie 10 fois sur celui qui prie une fois sur le Prophète ﷺ.","Yàlla day julli fukk yoon ci ki julli benn yoon ci Yonent bi ﷺ.","Allah prays 10 times upon the one who prays once upon the Prophet ﷺ.","Allah prega 10 volte su chi prega una volta sul Profeta ﷺ.","Allah reza 10 veces sobre quien reza una vez sobre el Profeta ﷺ.","الله يصلي عشر صلوات على من صلى عليه مرة واحدة."
"ledahira.overline","Le Dahira","","The Dahira","La Dahira","La Dahira","الداهيرا"
"ledahira.title_l1","Une Organisation Spirituelle","","A Spiritual Organization","Un'Organizzazione Spirituale","Una Organización Espiritual","منظمة روحية"
"ledahira.title_l2","Moderne & Structurée","","Modern & Structured","Moderna e Strutturata","Moderna y Estructurada","حديثة ومنظَّمة"
"ledahira.intro","Fondé le 02 Janvier 2021 à Touba, Kippangog Salaatu 'Alaa Nabii œuvre pour la promotion de la Prière sur le Prophète Muhammad ﷺ, la fraternité spirituelle et le rayonnement du Dahira à travers le monde.","","Founded on January 2, 2021 in Touba, Kippangog Salaatu 'Alaa Nabii works to promote Prayer upon the Prophet Muhammad ﷺ, spiritual brotherhood and the international outreach of the Dahira.","Fondata il 2 gennaio 2021 a Touba, Kippangog Salaatu 'Alaa Nabii promuove la Preghiera sul Profeta Muhammad ﷺ, la fratellanza spirituale e la diffusione internazionale della Dahira.","Fundada el 2 de enero de 2021 en Tuba, Kippangog Salaatu 'Alaa Nabii promueve la Oración sobre el Profeta Muhammad ﷺ, la fraternidad espiritual y la proyección internacional de la Dahira.","تأسست في 2 يناير 2021 بمدينة طوبى، وتعمل كيبانغوغ صلاة على النبي على نشر الصلاة على النبي محمد ﷺ، والأخوّة الروحية، وإشعاع الداهيرا في العالم."
"ledahira.card1_title","Notre Mission","","Our Mission","La Nostra Missione","Nuestra Misión","رسالتنا"
"ledahira.card1_text","Promouvoir l'amour du Prophète ﷺ à travers le Salaatu, les Khassidas, les Azkâr et l'éducation spirituelle.","","To promote love of the Prophet ﷺ through Salaatu, Khassidas, Azkâr and spiritual education.","Promuovere l'amore per il Profeta ﷺ attraverso il Salaatu, le Khassidas, gli Azkâr e l'educazione spirituale.","Promover el amor al Profeta ﷺ a través del Salaatu, las Khassidas, los Azkâr y la educación espiritual.","نشر محبة النبي ﷺ من خلال الصلاة عليه والقصائد والأذكار والتربية الروحية."
"ledahira.card2_title","Bureau du Dahira","","The Dahira Office","Ufficio della Dahira","Oficina de la Dahira","مكتب الداهيرا"
"ledahira.card2_text","Une organisation structurée avec Présidence, Secrétariat Général, Finances, Organisation et plusieurs commissions officielles.","","A structured organization with a Presidency, General Secretariat, Finance, Organization and several official commissions.","Un'organizzazione strutturata con Presidenza, Segreteria Generale, Finanze, Organizzazione e diverse commissioni ufficiali.","Una organización estructurada con Presidencia, Secretaría General, Finanzas, Organización y varias comisiones oficiales.","تنظيم منظَّم يضم الرئاسة والأمانة العامة والمالية والتنظيم وعدة لجان رسمية."
"ledahira.card3_title","Vie du Membre","","Member Life","Vita del Membro","Vida del Miembro","حياة العضو"
"ledahira.card3_text","Participation active au Salaatu, activités spirituelles, événements, application KSN et vie communautaire.","","Active participation in Salaatu, spiritual activities, events, the KSN app and community life.","Partecipazione attiva al Salaatu, attività spirituali, eventi, app KSN e vita comunitaria.","Participación activa en el Salaatu, actividades espirituales, eventos, la app KSN y la vida comunitaria.","المشاركة الفعّالة في الصلاة على النبي والأنشطة الروحية والفعاليات وتطبيق KSN والحياة المجتمعية."
"ledahira.card4_title","Règlement Intérieur","","Internal Rules","Regolamento Interno","Reglamento Interno","النظام الداخلي"
"ledahira.card4_text","Discipline, engagement spirituel, organisation et principes officiels du Dahira KSN.","","Discipline, spiritual commitment, organization and the official principles of the KSN Dahira.","Disciplina, impegno spirituale, organizzazione e principi ufficiali della Dahira KSN.","Disciplina, compromiso espiritual, organización y principios oficiales de la Dahira KSN.","الانضباط والالتزام الروحي والتنظيم والمبادئ الرسمية لداهيرا KSN."
"ledahira.card5_title","Plan d'Actions","","Action Plan","Piano d'Azione","Plan de Acción","خطة العمل"
"ledahira.card5_text","Éducation, Culture, Finances, Sociale, Organisation et développement communautaire.","","Education, Culture, Finance, Social affairs, Organization and community development.","Educazione, Cultura, Finanze, Sociale, Organizzazione e sviluppo comunitario.","Educación, Cultura, Finanzas, Social, Organización y desarrollo comunitario.","التعليم والثقافة والمالية والشؤون الاجتماعية والتنظيم والتنمية المجتمعية."
"ledahira.join_title","Rejoindre la KSN","","Join KSN","Unisciti alla KSN","Únete a la KSN","انضم إلى KSN"
"ledahira.join_text","Devenez membre officiel du Dahira et participez à cette mission spirituelle internationale.","","Become an official member of the Dahira and take part in this international spiritual mission.","Diventa membro ufficiale della Dahira e partecipa a questa missione spirituale internazionale.","Hazte miembro oficial de la Dahira y participa en esta misión espiritual internacional.","كن عضوًا رسميًا في الداهيرا وشارك في هذه الرسالة الروحية الدولية."
"ledahira.join_cta","Adhérer Maintenant","","Join Now","Aderisci Ora","Adherirse Ahora","انضم الآن"
